market_id,question,category,creation_date,resolution_date,search_query
669662,Will there be no change in Fed interest rates after the April 2026 meeting?,politics,2025-11-07T16:55:42,2026-04-29T21:24:28,there change Fed interest
669663,Will the Fed increase interest rates by 25+ bps after the April 2026 meeting?,politics,2025-11-07T16:55:43,2026-04-29T21:24:38,Fed increase interest rates
669660,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,politics,2025-11-07T16:55:40,2026-04-29T21:24:08,Fed decrease interest rates
1706788,US x Iran ceasefire by April 7?,politics,2026-03-24T17:52:05,2026-04-11T00:28:39,Iran ceasefire April
1569627,US x Iran ceasefire by April 15?,politics,2026-03-12T16:42:24,2026-04-08T01:24:31,Iran ceasefire April
1484894,US x Iran ceasefire by May 31?,politics,2026-03-02T17:03:42,2026-04-08T09:26:17,Iran ceasefire May
654415,Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,politics,2025-10-28T20:58:06,2026-03-18T21:19:03,Fed increase interest rates
654413,Will the Fed decrease interest rates by 25 bps after the March 2026 meeting?,politics,2025-10-28T20:58:05,2026-03-18T21:18:07,Fed decrease interest rates
654412,Will the Fed decrease interest rates by 50+ bps after the March 2026 meeting?,politics,2025-10-28T20:58:04,2026-03-18T21:18:09,Fed decrease interest rates
553813,Fed increases interest rates by 25+ bps after October 2025 meeting?,politics,2025-06-19T16:29:55,2025-10-31T03:33:31,Fed increases interest rates
553810,Fed decreases interest rates by 50+ bps after October 2025 meeting?,politics,2025-06-19T16:29:54,2025-10-29T21:16:17,Fed decreases interest rates
553811,Fed decreases interest rates by 25 bps after October 2025 meeting?,politics,2025-06-19T16:29:55,2025-10-29T21:15:21,Fed decreases interest rates
504873,Will Gavin Newsom be D-nom for VP on Election Day?,politics,2024-08-09T20:14:00,2024-11-05T14:09:03,Gavin Newsom D-nom Election
504868,Will Michelle Obama be D-nom for VP on Election Day?,politics,2024-08-09T19:36:32,2024-11-05T12:41:08,Michelle Obama D-nom Election
504869,Will Kamala Harris be D-nom for VP on Election Day?,politics,2024-08-09T20:11:42,2024-11-05T14:24:05,Kamala Harris D-nom Election
519075,Will Hunor Kelemen win the Romanian presidential election?,politics,2025-01-17T21:29:06,2025-05-19T05:38:37,Hunor Kelemen Romanian presidential
519068,Will Nicușor Dan win the Romanian presidential election?,politics,2025-01-17T21:29:03,2025-05-19T04:09:33,Nicu Dan Romanian presidential
519066,Will George Simion win the Romanian presidential election?,politics,2025-01-17T21:29:03,2025-05-19T02:59:19,George Simion Romanian presidential
542539,No change in Fed interest rates after September 2025 meeting?,politics,2025-05-07T21:42:51,2025-09-17T21:27:42,change Fed interest rates
542540,Fed increases interest rates by 25+ bps after September 2025 meeting?,politics,2025-05-07T21:42:51,2025-09-17T21:26:38,Fed increases interest rates
542537,Fed decreases interest rates by 50+ bps after September 2025 meeting?,politics,2025-05-07T21:42:49,2025-09-17T21:27:38,Fed decreases interest rates
2036399,"US x Iran ceasefire extended by April 22, 2026?",politics,2026-04-20T19:28:43,2026-05-01T00:32:42,Iran ceasefire extended April
1918791,"US x Iran ceasefire extended by April 21, 2026?",politics,2026-04-08T14:52:46,2026-04-22T07:44:34,Iran ceasefire extended April
1918790,"Will the US x Iran ceasefire be extended by April 14, 2026?",politics,2026-04-08T14:52:46,2026-04-15T15:18:38,Iran ceasefire extended April
507242,Will the Democratic candidate win Pennsylvania by 1.5%-2.0%?,politics,2024-09-16T20:31:19,2024-12-05T04:16:19,Democratic candidate Pennsylvania
507237,Will the Democratic candidate win Pennsylvania by 0.5%-1%?,politics,2024-09-16T20:28:21,2024-12-05T04:01:18,Democratic candidate Pennsylvania
507238,Will the Democratic candidate win Pennsylvania by 1.0%-1.5%?,politics,2024-09-16T20:29:24,2024-12-05T04:06:23,Democratic candidate Pennsylvania
512325,Fed increases interest rates by 25+ bps after January 2025 meeting?,politics,2024-11-07T21:23:20,2025-01-29T22:53:00,Fed increases interest rates
512320,Fed decreases interest rates by 75+ bps after January 2025 meeting?,politics,2024-11-07T21:09:40,2025-01-29T22:53:06,Fed decreases interest rates
512321,Fed decreases interest rates by 50 bps after January 2025 meeting?,politics,2024-11-07T21:16:00,2025-01-29T22:57:56,Fed decreases interest rates
504494,Fed increases interest rates by 25+ bps after November 2024 meeting?,politics,2024-08-02T19:36:17,2024-11-07T22:44:32,Fed increases interest rates
507418,Will the FED change rates to another level after Nov meeting?,politics,2024-09-18T18:03:17,2024-11-07T22:54:40,FED change rates another
504490,Fed decreases interest rates by 75+ bps after November 2024 meeting?,politics,2024-08-02T19:28:58,2024-11-07T22:49:58,Fed decreases interest rates
512246,Will Austin Scott be the first elected Speaker of the House for the 119th congress?,politics,2024-11-06T22:47:25,2025-01-03T23:22:49,Austin Scott first elected
512245,Will Jack Bergman be the first elected Speaker of the House for the 119th congress?,politics,2024-11-06T22:46:16,2025-01-03T23:17:21,Jack Bergman first elected
512248,Will Elise Stefanik be the first elected Speaker of the House for the 119th congress?,politics,2024-11-06T22:50:38,2025-01-03T23:22:45,Elise Stefanik first elected
906974,Will there be no change in Fed interest rates after the June 2026 meeting?,politics,2025-12-10T16:57:53,2026-06-17T21:07:28,there change Fed interest
906972,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,politics,2025-12-10T16:57:52,2026-06-17T21:07:23,Fed decrease interest rates
906975,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,politics,2025-12-10T16:57:54,2026-06-17T21:20:40,Fed increase interest rates
680392,US government shutdown Saturday?,politics,2025-11-13T14:57:42,2026-02-04T00:35:28,government shutdown Saturday
529278,Will Frances Fitzgerald win the Irish Presidential Election?,politics,2025-03-20T19:34:21,2025-10-25T21:53:33,Frances Fitzgerald Irish Presidential
529277,Will Peter Casey win the Irish Presidential Election?,politics,2025-03-20T19:34:20,2025-10-25T21:42:41,Peter Casey Irish Presidential
529303,Will Emily O'Reilly win the Irish Presidential Election?,politics,2025-03-20T19:42:20,2025-10-25T21:38:43,Emily O'Reilly Irish Presidential
528975,Fed increases interest rates by 25+ bps after July 2025 meeting?,politics,2025-03-19T19:32:16,2025-07-30T21:09:13,Fed increases interest rates
528972,Fed decreases interest rates by 50+ bps after July 2025 meeting?,politics,2025-03-19T19:32:15,2025-07-30T21:08:11,Fed decreases interest rates
528974,No change in Fed interest rates after July 2025 meeting?,politics,2025-03-19T19:32:16,2025-07-30T21:10:09,change Fed interest rates
569426,Will André Ventura win the 2026 Portugal presidential election?,politics,2025-07-28T19:21:31,2026-02-09T04:25:29,Andr Ventura Portugal presidential
569437,Will Raul Perestrello win the 2026 Portugal presidential election?,politics,2025-07-28T19:21:48,2026-02-09T04:08:29,Raul Perestrello Portugal presidential
569428,Will Aristides Teixeira win the 2026 Portugal presidential election?,politics,2025-07-28T19:21:39,2026-02-09T04:14:21,Aristides Teixeira Portugal presidential
514165,Will another party win the most seats in the next German election?,politics,2024-11-26T18:30:46,2025-02-24T12:45:52,another party most seats
515761,Will FDP win the most seats in the next German election?,politics,2024-12-16T18:10:05,2025-02-24T12:45:58,FDP most seats next
514164,Will BSW win the most seats in the next German election?,politics,2024-11-26T18:29:47,2025-02-24T12:40:42,BSW most seats next
1180303,Khamenei out as Supreme Leader of Iran by February 28?,politics,2026-01-14T01:32:41,2026-03-04T01:05:25,Khamenei out Supreme Leader
514139,Will Rafał Trzaskowski be the next President of Poland?,politics,2024-11-26T15:55:19,2025-06-02T08:55:20,Rafa Trzaskowski next President
514138,Will Karol Nawrocki be the next President of Poland?,politics,2024-11-26T15:44:20,2025-06-02T08:55:12,Karol Nawrocki next President
514142,Will Marek Jakubiak be the next President of Poland?,politics,2024-11-26T15:57:25,2025-06-02T08:49:46,Marek Jakubiak next President
503191,Will Tim Walz be the 2024 Democratic VP nominee?,politics,2024-07-03T17:41:24,2024-08-06T18:17:24,Tim Walz Democratic nominee
503190,Will Andy Beshear be the 2024 Democratic VP nominee?,politics,2024-07-03T17:39:41,2024-08-06T23:22:10,Andy Beshear Democratic nominee
503175,Will Pete Buttigieg be the 2024 Democratic VP nominee?,politics,2024-07-03T16:55:26,2024-08-06T23:16:30,Pete Buttigieg Democratic nominee
504706,Democrats win popular vote by 7% or more?,politics,2024-08-07T21:16:24,2024-12-18T00:57:44,Democrats popular vote more
504677,GOP wins popular vote by 3-4%?,politics,2024-08-07T20:48:42,2024-12-18T01:02:28,GOP popular vote
504700,Democrats win popular vote by 1-2%?,politics,2024-08-07T21:11:04,2024-12-18T01:07:08,Democrats popular vote
516767,Will Pierre Poilievre be the next Canadian Prime Minister?,politics,2024-12-30T06:30:06,2025-04-30T11:29:47,Pierre Poilievre next Canadian
516769,Will Mark Carney be the next Canadian Prime Minister?,politics,2024-12-30T06:34:08,2025-04-30T19:37:50,Mark Carney next Canadian
516770,Will Jagmeet Singh be the next Canadian Prime Minister?,politics,2024-12-30T06:35:38,2025-04-30T12:33:43,Jagmeet Singh next Canadian
507276,TikTok banned in the US before May 2025?,politics,2024-09-17T14:54:44,2025-01-22T00:31:19,TikTok banned May
253836,Democrats and Republicans both lose the 2024 Presidential Election?,politics,2024-01-11T23:30:49,2024-11-07T08:41:51,Democrats Republicans both lose
253677,2024 presidential election: GOP wins by 65-104,politics,2024-01-08T21:19:54,2024-11-10T07:02:37,presidential election GOP
253675,2024 presidential election: GOP wins by 215+,politics,2024-01-08T21:14:19,2024-11-10T06:57:41,presidential election GOP
947289,Will Roberto Sánchez Palomino win the 2026 Peruvian presidential election?,politics,2025-12-16T10:56:27,2026-07-06T13:42:37,Roberto nchez Palomino Peruvian
947269,Will Keiko Fujimori win the 2026 Peruvian presidential election?,politics,2025-12-16T10:56:12,2026-07-06T13:41:52,Keiko Fujimori Peruvian presidential
947268,Will Rafael López Aliaga win the 2026 Peruvian presidential election?,politics,2025-12-16T10:56:11,2026-07-04T01:42:11,Rafael pez Aliaga Peruvian
521834,Fed decreases interest rates by 50+ bps after June 2025 meeting?,politics,2025-02-04T21:57:44,2025-06-18T21:09:10,Fed decreases interest rates
521836,No change in Fed interest rates after June 2025 meeting?,politics,2025-02-04T21:57:45,2025-06-18T21:18:38,change Fed interest rates
521837,Fed increases interest rates by 25+ bps after June 2025 meeting?,politics,2025-02-04T21:57:45,2025-06-18T21:09:10,Fed increases interest rates
567560,Will the next Prime Minister of Hungary be Viktor Orbán?,politics,2025-07-24T21:26:35,2026-05-09T17:36:51,next Prime Minister Hungary
567561,Will the next Prime Minister of Hungary be Péter Magyar?,politics,2025-07-24T21:26:35,2026-05-09T17:02:22,next Prime Minister Hungary
567564,Will the next Prime Minister of Hungary be István Kapitány?,politics,2025-07-24T21:26:37,2026-05-09T17:37:49,next Prime Minister Hungary
1706766,Iran x Israel/US conflict ends by April 7?,politics,2026-03-24T17:47:52,2026-04-25T00:43:00,Iran Israel conflict ends
1567746,Iran x Israel/US conflict ends by April 15?,politics,2026-03-12T13:36:18,2026-04-25T00:30:06,Iran Israel conflict ends
1484914,Iran x Israel/US conflict ends by May 15?,politics,2026-03-02T17:13:13,2026-04-25T00:30:14,Iran Israel conflict ends
964822,Will Trump release the Epstein files by December 20?,politics,2025-12-18T17:51:29,2025-12-19T23:40:25,Trump release Epstein files
509307,Will New Hampshire be the closest state?,politics,2024-10-08T20:40:04,2024-12-11T09:17:30,New Hampshire closest state
509235,Will Nevada be the closest state?,politics,2024-10-08T06:28:24,2024-11-29T09:10:53,Nevada closest state
509311,Will Florida be the closest state?,politics,2024-10-08T20:42:06,2024-11-29T03:56:16,Florida closest state
253995,Will Vivek Ramaswamy win the 2024 Republican VP nomination?,politics,2024-01-18T19:18:33,2024-07-16T02:47:27,Vivek Ramaswamy Republican nomination
254112,Will JD Vance win the 2024 Republican VP nomination?,politics,2024-01-25T19:39:03,2024-07-16T02:11:25,Vance Republican nomination
254001,Will Tucker Carlson win the 2024 Republican VP nomination?,politics,2024-01-18T19:46:58,2024-07-16T03:08:21,Tucker Carlson Republican nomination
519784,Fed increases interest rates by 25+ bps after May 2025 meeting?,politics,2025-01-23T19:12:27,2025-05-07T22:33:14,Fed increases interest rates
519776,Fed decreases interest rates by 50+ bps after May 2025 meeting?,politics,2025-01-23T19:07:41,2025-05-07T22:33:12,Fed decreases interest rates
519777,Fed decreases interest rates by 25 bps after May 2025 meeting?,politics,2025-01-23T19:07:41,2025-05-07T22:33:14,Fed decreases interest rates
588775,US x Venezuela military engagement by December 31?,politics,2025-09-05T16:18:14,2026-01-05T00:33:37,Venezuela military engagement December
621018,US x Venezuela military engagement by November 30?,politics,2025-10-03T18:30:55,2025-12-01T07:18:48,Venezuela military engagement November
579306,US x Venezuela military engagement by October 31?,politics,2025-08-21T15:58:22,2025-11-01T06:19:58,Venezuela military engagement October
541625,Will Ximena Rincón win the Chilean presidential election?,politics,2025-05-05T21:20:42,2025-11-20T12:06:31,Ximena Rinc Chilean presidential
541627,Will Marco Enríquez-Ominami win the Chilean presidential election?,politics,2025-05-05T21:20:44,2025-11-20T11:59:21,Marco Enr quez-Ominami Chilean
541615,Will Jeannette Jara win the Chilean presidential election?,politics,2025-05-05T21:20:35,2025-12-15T02:46:17,Jeannette Jara Chilean presidential
254250,Will 'Joker 2' gross most in 2024?,finance,2024-01-31T22:05:51,2025-01-03T08:20:05,Joker gross most
254252,Will 'Despicable Me 4' gross most in 2024?,finance,2024-01-31T22:13:18,2025-01-03T08:30:05,Despicable gross most
254251,Will 'Furiosa: A Mad Max Saga' gross most in 2024?,finance,2024-01-31T22:07:55,2025-01-03T08:20:09,Furiosa Mad Max Saga'
1807967,Will WTI Crude Oil (WTI) hit (HIGH) $200 in April?,finance,2026-03-31T15:54:32,2026-05-01T02:13:28,WTI Crude Oil WTI
1712297,Will WTI Crude Oil (WTI) hit (HIGH) $120 in April?,finance,2026-03-25T04:01:19,2026-05-01T00:06:28,WTI Crude Oil WTI
1712301,Will WTI Crude Oil (WTI) hit (LOW) $80 in April?,finance,2026-03-25T04:01:19,2026-04-17T22:06:26,WTI Crude Oil WTI
2132637,Will WTI Crude Oil (WTI) hit (LOW) $85 in May?,finance,2026-05-01T13:46:07,2026-06-02T00:50:47,WTI Crude Oil WTI
2074237,Will WTI Crude Oil (WTI) hit (HIGH) $110 in May?,finance,2026-04-25T04:01:59,2026-05-29T23:31:06,WTI Crude Oil WTI
2074233,Will WTI Crude Oil (WTI) hit (HIGH) $150 in May?,finance,2026-04-25T04:01:59,2026-05-29T23:49:22,WTI Crude Oil WTI
255335,Fed rate cut by September 18?,finance,2024-03-07T18:53:28,2024-09-18T20:17:10,Fed rate cut September
255337,Fed rate cut by December 18?,finance,2024-03-07T18:53:28,2024-09-18T20:21:56,Fed rate cut December
255336,Fed rate cut by November 7?,finance,2024-03-07T18:53:28,2024-09-18T20:22:02,Fed rate cut November
631182,Will Microsoft be the largest company in the world by market cap on June 30?,finance,2025-10-10T20:51:57,2026-06-30T23:07:41,Microsoft largest company world
631185,Will Tesla be the largest company in the world by market cap on June 30?,finance,2025-10-10T20:51:58,2026-06-30T23:18:40,Tesla largest company world
631181,Will NVIDIA be the largest company in the world by market cap on June 30?,finance,2025-10-10T20:51:56,2026-06-30T23:15:56,NVIDIA largest company world
631220,Will Tesla be the largest company in the world by market cap on November 30?,finance,2025-10-10T21:05:51,2025-12-01T01:04:14,Tesla largest company world
631216,Will NVIDIA be the largest company in the world by market cap on November 30?,finance,2025-10-10T21:05:49,2025-11-30T23:11:54,NVIDIA largest company world
631219,Will Alphabet be the largest company in the world by market cap on November 30?,finance,2025-10-10T21:05:50,2025-12-01T01:02:08,Alphabet largest company world
676716,Will Amazon be the largest company in the world by market cap on March 31?,finance,2025-11-11T17:37:50,2026-04-01T01:49:49,Amazon largest company world
676714,Will Tesla be the largest company in the world by market cap on March 31?,finance,2025-11-11T17:37:49,2026-03-31T23:10:13,Tesla largest company world
676710,Will NVIDIA be the largest company in the world by market cap on March 31?,finance,2025-11-11T17:37:47,2026-04-01T01:48:51,NVIDIA largest company world
254432,Ethereum all time high in 2024?,finance,2024-02-12T21:15:20,2025-01-01T07:37:52,Ethereum all time high
1237456,Will Tesla be the largest company in the world by market cap on February 28?,finance,2026-01-21T22:49:26,2026-02-28T05:10:51,Tesla largest company world
1237452,Will NVIDIA be the largest company in the world by market cap on February 28?,finance,2026-01-21T22:49:24,2026-03-04T04:20:01,NVIDIA largest company world
1237455,Will Alphabet be the largest company in the world by market cap on February 28?,finance,2026-01-21T22:49:26,2026-02-28T05:09:19,Alphabet largest company world
1032303,Will Silver (SI) hit (HIGH) $110 by end of January?,finance,2025-12-26T23:27:15,2026-01-27T08:14:15,Silver HIGH end January
1032302,Will Silver (SI) hit (HIGH) $120 by end of January?,finance,2025-12-26T23:27:15,2026-01-31T16:19:04,Silver HIGH end January
1032301,Will Silver (SI) hit (HIGH) $150 by end of January?,finance,2025-12-26T23:27:14,2026-01-31T14:18:04,Silver HIGH end January
1487055,Will Microsoft be the largest company in the world by market cap on April 30?,finance,2026-03-02T23:00:05,2026-04-30T22:24:44,Microsoft largest company world
1487059,Will Tesla be the largest company in the world by market cap on April 30?,finance,2026-03-02T23:00:06,2026-04-30T22:30:52,Tesla largest company world
1487054,Will NVIDIA be the largest company in the world by market cap on April 30?,finance,2026-03-02T23:00:04,2026-04-30T22:26:42,NVIDIA largest company world
631291,Will Saudi Aramco be the second-largest company in the world by market cap on November 30?,finance,2025-10-10T21:22:43,2025-12-01T01:07:26,Saudi Aramco second-largest company
631296,Will Oracle be the second-largest company in the world by market cap on November 30?,finance,2025-10-10T21:22:45,2025-12-01T01:08:26,Oracle second-largest company world
631289,Will Tesla be the second-largest company in the world by market cap on November 30?,finance,2025-10-10T21:22:43,2025-12-01T01:07:26,Tesla second-largest company world
253750,Ethereum ETF approved by May 31?,finance,2024-01-09T21:13:02,2024-05-24T00:14:40,Ethereum ETF approved May
964904,Will Saudi Aramco be the largest company in the world by market cap on January 31?,finance,2025-12-18T18:11:03,2026-01-31T12:55:04,Saudi Aramco largest company
964899,Will NVIDIA be the largest company in the world by market cap on January 31?,finance,2025-12-18T18:10:58,2026-01-31T10:16:06,NVIDIA largest company world
964903,Will Tesla be the largest company in the world by market cap on January 31?,finance,2025-12-18T18:11:02,2026-01-31T12:58:54,Tesla largest company world
253254,Bitcoin ETF approved by Jan 15?,finance,2023-12-01T18:42:34,2024-01-10T23:47:24,Bitcoin ETF approved Jan
631279,Will Saudi Aramco be the second-largest company in the world by market cap on December 31?,finance,2025-10-10T21:22:40,2026-01-01T01:16:55,Saudi Aramco second-largest company
631277,Will Tesla be the second-largest company in the world by market cap on December 31?,finance,2025-10-10T21:22:39,2026-01-01T01:14:45,Tesla second-largest company world
631273,Will Apple be the second-largest company in the world by market cap on December 31?,finance,2025-10-10T21:22:37,2026-01-01T01:14:45,Apple second-largest company world
254759,Ethereum all time high in Q4 2024?,finance,2024-02-26T21:45:04,2025-01-01T09:12:52,Ethereum all time high
254760,No Ethereum all time high in 2024?,finance,2024-02-26T21:45:04,2025-01-01T08:58:24,Ethereum all time high
254758,Ethereum all time high in Q3 2024?,finance,2024-02-26T21:45:04,2024-10-01T07:34:48,Ethereum all time high
516935,"Will Gold close at $3,200 or more at the end of 2025?",finance,2024-12-31T16:13:33,2026-01-01T11:13:41,Gold close more end
516930,"Will Gold close at $2,700-2,800 at the end of 2025?",finance,2024-12-31T16:08:43,2026-01-01T11:18:39,Gold close end
516934,"Will Gold close at $3,100-3,200 at the end of 2025?",finance,2024-12-31T16:12:44,2026-01-01T11:24:41,Gold close end
1999720,Will Tesla be the largest company in the world by market cap on May 31?,finance,2026-04-16T15:06:02,2026-05-30T07:03:46,Tesla largest company world
1999716,Will NVIDIA be the largest company in the world by market cap on May 31?,finance,2026-04-16T15:06:01,2026-05-31T23:41:07,NVIDIA largest company world
1999718,Will Apple be the largest company in the world by market cap on May 31?,finance,2026-04-16T15:06:01,2026-05-30T07:07:11,Apple largest company world
581247,Lisa Cook out as Fed Governor by September 30?,finance,2025-08-26T00:42:40,2025-10-01T06:26:45,Lisa Cook out Fed
581249,Lisa Cook out as Fed Governor by December 31?,finance,2025-08-26T00:55:32,2026-01-01T09:37:45,Lisa Cook out Fed
657493,Lisa Cook out as Fed Governor by November 30?,finance,2025-10-30T22:51:08,2025-12-01T07:29:42,Lisa Cook out Fed
1273328,"Will Gold (GC) hit (HIGH) $5,500 by end of February?",finance,2026-01-26T21:56:25,2026-02-28T08:57:43,Gold HIGH end February
1295950,"Will Gold (GC) hit (HIGH) $10,000 by end of February?",finance,2026-01-29T20:51:23,2026-02-28T09:10:55,Gold HIGH end February
1273327,"Will Gold (GC) hit (HIGH) $6,000 by end of February?",finance,2026-01-26T21:56:25,2026-02-28T09:11:57,Gold HIGH end February
255322,Will Bitcoin hit $250k in 2024?,finance,2024-03-06T20:57:31,2025-01-01T07:37:40,Bitcoin
1293938,Will Silver (SI) hit (HIGH) $190 by end of February?,finance,2026-01-29T16:47:36,2026-02-28T08:33:47,Silver HIGH end February
1272520,Will Silver (SI) hit (HIGH) $120 by end of February?,finance,2026-01-26T19:08:29,2026-02-28T09:06:59,Silver HIGH end February
1272530,Will Silver (SI) hit (LOW) $40 by end of February?,finance,2026-01-26T19:08:34,2026-02-28T09:09:03,Silver LOW end February
2423577,Will WTI Crude Oil (WTI) hit (LOW) $65 in June?,finance,2026-06-03T00:47:36,2026-06-30T23:01:56,WTI Crude Oil WTI
2350573,Will WTI Crude Oil (WTI) hit (HIGH) $100 in June?,finance,2026-05-25T04:01:49,2026-06-30T23:17:40,WTI Crude Oil WTI
2423576,Will WTI Crude Oil (WTI) hit (LOW) $75 in June?,finance,2026-06-03T00:47:07,2026-06-17T09:31:05,WTI Crude Oil WTI
1032272,"Will Gold (GC) hit (HIGH) $5,500 by end of June?",finance,2025-12-26T23:26:52,2026-07-01T07:13:10,Gold HIGH end June
1032268,"Will Gold (GC) hit (HIGH) $7,000 by end of June?",finance,2025-12-26T23:26:50,2026-07-01T07:10:41,Gold HIGH end June
1272717,"Will Gold (GC) hit (HIGH) $8,500 by end of June?",finance,2026-01-26T19:22:50,2026-07-01T07:11:58,Gold HIGH end June
1168265,"Will Netflix say ""Warner Bros"" during earnings call?",finance,2026-01-12T16:55:34,2026-01-25T03:37:54,Netflix say Warner Bros
1168269,"Will Netflix say ""Jake Paul"" during earnings call?",finance,2026-01-12T16:55:35,2026-01-21T03:00:28,Netflix say Jake Paul
1168274,"Will Netflix say ""Subscriber"" during earnings call?",finance,2026-01-12T16:55:36,2026-01-21T05:20:48,Netflix say Subscriber during
253912,Will USDC flip USDT in market cap in 2024?,finance,2024-01-16T20:08:21,2025-01-01T08:02:28,USDC flip USDT market
637403,Will Gold close below $4000 at the end of 2025?,finance,2025-10-16T14:56:57,2026-01-01T10:40:41,Gold close below end
637406,Will Gold close between $4200 and $4300 at the end of 2025?,finance,2025-10-16T14:56:59,2026-01-01T10:57:57,Gold close between end
637407,Will Gold close between $4300 and $4400 at the end of 2025?,finance,2025-10-16T14:56:59,2026-01-01T10:57:59,Gold close between end
535639,Will the 10-year Treasury yield hit 4.6% in 2025?,finance,2025-04-09T06:21:18,2025-12-31T23:13:49,year Treasury yield
